1;20/01/2013;10:30;soles;visa;av.molina;999888666;2789456123;450;1;5
2;20/02/2013;10:30;soles;visa;av.molina;999888666;2789456123;470;1;5
3;20/03/2013;10:30;soles;visa;av.molina;999888666;2789456123;450;1;5
4;20/04/2013;10:30;soles;visa;av.molina;999888666;2789456123;4590;1;5
5;20/05/2013;10:30;soles;visa;av.molina;999888666;2789456123;4800;1;5
6;20/06/2013;10:30;soles;visa;av.molina;999888666;2789456123;4750;1;5
7;20/07/2013;10:30;soles;visa;av.molina;999888666;2789456123;87920;1;5
8;20/08/2013;10:30;soles;visa;av.molina;999888666;2789456123;4500;1;5
9;20/09/2013;10:30;soles;visa;av.molina;999888666;2789456123;450;1;5
10;20/10/2013;10:30;soles;visa;av.molina;999888666;2789456123;4590;1;5
11;20/11/2013;10:30;soles;visa;av.molina;999888666;2789456123;4800;1;5
12;20/12/2013;10:30;soles;visa;av.molina;999888666;2789456123;4750;1;5
13;20/07/2013;10:30;soles;visa;av.molina;999888666;2789456123;87920;1;5
